Key:int,Value:string
304003,比赛场中不能查看个人信息
305001,免费赛
305002,花费赛
305003,争霸赛
305004,全部比赛
305005,免费报名
401001,好友
401002,好友排行
401003,查找好友
401004,请输入好友昵称或者ID
401005,在线
401006,金币
401007,钻石
401008,等级
401009,胜率
401010,查找
401011,添加
401012,暂无好友
401013,无可匹配的玩家
402001,认识的人
402002,想知道你的通讯录中谁也在玩吗？
402003,去看看
402004,我们不会保存通讯录里的任何资料，仅作为推荐识别
402005,可能认识的人：
402006,换一个
402007,你和TA有%d位共同好友
402008,请输入联系人或者手机号码
402009,邀请
402010,加好友
403001,独乐乐不如众乐乐！\n开放位置信息，可以再这里找到附近正在玩游戏的人。\n斗牌、交友，其乐无穷！
403002,看看附近谁在玩
403003,您随时可以清除位置信息哦~
403004,定位服务未开启\n开启手机定位服务，才能跟附近的牌友一起玩哦~
403005,开启定位
403006,嗨，跟附近的人打个招呼吧~
403007,清除地理位置
403008,%d米以内
403009,加好友
403010,确认清除地理位置信息？
403011,清除位置信息后，其他玩家会找不到你哦
403012,取消
403013,确定
403014,附近的人
404001,ID：
404002,金币：
404003,钻石：
404004,等级：
404005,查看详情
404006,删除好友
404007,发消息
404008,确认删除该好友？
404009,删除后无法聊天，聊天记录也会被清除哦~
404010,取消
404011,确定
405001,消息
405002,暂无消息
405003,请求添加您为好友
405004,拒绝
405005,接受
405006,限制%d个字
405007,发送
405008,按住说话
406001,已加好友
406002,举报玩家成功
406003,已发送好友申请，请等待对方验证
406004,想要添加你为好友
406005,成功添加%s为好友
406006,无法对自己使用道具
406007,%s拒绝添加你为好友
407001,生涯 %d%%       %d/%d\n本周 %d%%       %d/%d
407002,含有色情、暴力等内容\n广告欺诈\n强退游戏\n没有金币，没有钻石，没有钱
407003,拒绝
407004,同意(%s)
501001,好友房
501002,满人
501003,缺%d人
501004,底注：
501005,最低入场：
501006,隐藏已满房间
501007,所有类型
501008,昭通斗地主
501009,昭通麻将
501010,创建房间
501011,按房间名或房号
501012,金币
502001,输入密码
502002,请输入2-6位密码
502003,确定
503001,没找到符合要求的房间呢，您创建一个？
503002,刷新
503003,创建
504001,创建房间
504002,房间名称：
504003,1-12位字符，默认为您的昵称
504004,房间密码：
504005,2-6位数字
504006,选择游戏：
504007,昭通斗地主
504008,昭通麻将
504009,游戏底注：
504010,自定义
504011,进入限制：
504012,金币
504013,确定
505001,底注：
505002,广播邀人
505003,微信邀请
601001,底注
601002,在线人数
601003,快速开始
602001,您还需要
602002,金币才能进入房间
602003,去低倍场
602004,直接购买
602005,您持有的金币数过高，自动为您匹配高级场！
602006,你还需要%s金币才能进入房间！
602007,%d元=%d金币
602008,正在匹配中请稍候...
602009,出牌不符合游戏规则
602010,你的牌太好了，抓了肯定赢！
602011,你的牌太好了，倒了肯定赢！
602012,你没有大于上手的牌！
602013,您持有的金币数过高，自动为您匹配中级场！
602014,您持有的金币数过高，自动为您匹配高级场！
602015,您已经超时一次，下次将会自动进入托管模式。
603001,闷  抓
603002,看  牌
603003,抓
603004,不  抓
603005,倒
603006,不  倒
603007,拉
603008,不  拉
603009,出  牌
603010,不  出
603011,提  示
603012,底注
603013,重  选
603014,倍
603015,准  备
603016,您没有牌大过上家
603017,出牌不符合规则
603018,请输入您要说的话
603019,发送
603020,开始游戏
603021,初级房
603022,中级房
603023,高级房
603024,换  桌
604001,昵称                          底注                                倍数                            金币
604005,换桌再战
604006,晒战绩
604007,再来一局
605001,1.昭通斗地主游戏用的扑克牌，共55张牌，每桌需要3名玩家才能游戏。\n2.叫牌阶段，系统会随机选出第一个叫牌的玩家，他可以选择“闷抓”或“看牌”。\n3.选择“闷抓”，该玩家成为地主，倍数翻倍，底牌只能地主可见，其他玩家无法看见。\n4.选择“看牌”，该玩家可继续选择“抓”或“不抓”，选择“抓”则成为地主，选择“不抓”则不当地主由下一家做出选择。\n5.确认地主后，依次询问剩余的玩家是否“倒牌”，“倒牌”则倍数翻倍。农民“倒牌”后，地主可以选择“拉”或“不拉”，若选择“拉”则进行“倒牌”的农民倍数再翻倍。\n6.地主首先出牌，然后按逆时针顺序依次出牌，轮到玩家跟牌时，玩家可以选择“不出”或出比上一个玩家大的牌。任意一个玩家出完牌游戏结束。\n7.特定牌型必抓：选择看牌后，若手中有火箭（王炸）、4个2或大于三张主牌（大王/小王/2/炸弹，各算一张主牌）则必抓，当地主。\n8.尾家必闷：在前两家未抓牌的情况下，尾家必闷，成为地主，此时倍数翻倍，底牌仅地主可见。
605002,1.火箭：即双王（大王和小王），最大的牌型。\n2.炸弹：四张相同数字的牌，如：7777。\n3.单张：一张牌，如：2。\n4.对牌：数字相同的两张牌。\n5.三张：数字相同的三张牌。\n6.三带一：数字相同的三张牌加一张单牌。如：555+6。\n7.顺子：五张或更多的连续单牌，如：45678。2和双王不能添加到顺子当中。\n8.连对：三对或更多的连续对牌，如：33445566。2和双王不能添加到连对当中。\n9.飞机：两个或更多的连续三张牌，如：333444。2和双王不能添加到飞机当中。\n10.飞机带翅膀：两个或更多的连续三张牌添加相同数量单牌，如：444555+6+7。\n11.四带二：四张牌加两张单牌，如：9999+3+4。四带二不是炸弹。
605003,基本规则
605004,基本牌型
605005,最多只能赢取所持有的的等量金币！
605006,玩家金币不足！
701001,准备
701002,昭通血战
701003,底分：
702001,%d番
702002,%d张
703001,对局流水
704001,详情
704002,换桌
704003,再来一局
705001,1.昭通麻将为血战麻将，直到剩一家没胡牌或者摸完牌墙本局游戏才会结束。\n2.万，筒和条三房牌，各36张，共108张牌；\n3.缺一门才可以胡，即胡的时候不能有3门花色\n4.昭通麻将特有的坨牌，坨牌可以当任意牌使用。\n5.有坨牌参与的碰叫飞碰，有坨牌参与的杠叫飞杠，坨不能用来暗杠\n6.墙子：游戏开始确定坨子的那一张牌。\n7.飞碰：坨加一张单牌碰\n8.飞杠：坨加一个对子去杠，或者已经有碰牌，可以拿坨子去杠，或者已经有飞碰，只能拿飞碰的花色进行飞杠，这里不允许再拿坨子飞杠。\n9。碰的规则：\n如果有人打出了可碰的牌但是没碰，如果在没有碰或杠其他牌或者摸牌的情况下，再有人打出这张牌，依然不能碰；\n10.胡的规则：\n如果有人打出了可胡的牌但是没胡，如果在没有碰或杠或者摸牌的情况下，再有人打出这张牌或者其他胡牌番数相同的牌，不能胡；自己摸的可以胡，并加番\n11.查叫：摸完所有牌墙的牌还剩余大于一人没胡，则进行查叫，查叫首先查花猪，花猪需赔付没花猪的人5番；没有听牌的玩家需要赔付有听的玩家能胡的玩家3番；若果都有叫，则不论叫大小，相互之间没有赔付关系。
706001,1.棒棒：1番（X1）正常普通的和牌，所谓的平胡。\n2.勾胡：2番（X2）手上有杠的牌型。\n3.天胡：4番（X8）庄家起手牌就和牌。\n4.地胡：4番（X4）庄家打出的第一手牌被闲家胡。\n5.清一色：4番（X4）只有一种花色的牌型。\n6.大对子：4番（X4）11、111、111、111、111的牌型。\n7.清大对子：5番（X16）清一色+大对子的组合。\n8.巧七对：4番（X4）11、22、33、44、55、66、77的牌型。\n9.清巧七对：5番（X16）清一色+巧七对的牌型。\n10.龙七对：5番（X16）11、22、33、44、55、6666的牌型。\n附加番数：（在原番数上累加）\n1.无坨+1番\n2.自摸+1番\n3.杠上花+1番\n4.杠上炮+1番\n5.抢杠+1番\n6.三墙子+2番\n7.金钩钩+1番（只剩下最后一张牌胡）\n备注：1番（X1）2番（X2）3番（X4）4番（X8）5番（X16） 6番（X32）7番（X64）8番（X128）9番（X256） 10番（X512）
707001,手牌中不能同时有万筒条三门牌
801001,比 牌
801002,弃 牌
801003,看牌
801004,加 注
801005,跟 注
801006,跟到底
801007,换 桌
801008,准 备
801009,底注:%s
801010,封顶:%s
801011,轮数:%d/%d
801012,总注:%s
801013,当前跟注:%s
801014,牌型大小介绍
801015,单牌
801016,对子
801017,顺子
801018,同花
801019,同花顺
801020,豹子
801021,特殊
801022,失败
801023,继续
801024,分享
801025,观战
801026,首轮首位玩家无法看牌
801027,必闷
901001,请输入内容
901002,发送
901003,提示：使用世界广播需要消耗%d金币
901004,[系统]
901005,[玩家]
901006,个人信息
901007,添加好友
901008,【%s】
901009,【%s】提示:
901010,不能发送空白内容
902001,已经达到最大字数限制
902002,不能发送空白内容
902003,信息发送过于频繁，请稍候再次发送
902004,所需金币不足，是否充值？
902005,取消
902006,确认
902007,操作过于频繁
902008,你已禁止聊天功能！
903001,迪忙抖点，几哈闷起走嘛
903002,235打仔子
903003,注意抖点，那个偷鸡的又来了
903004,不要慌，闷起走
903005,冒慌嘛，闷起走
903006,莫筋抖催，我骤时都输给你几爷子
903007,莫筋抖催，我丁宮都输给你几爷子
903008,不要争了，有啥子争尝，专心打
903009,你们太整不成了，按斗老子一个人整
903010,输家不开口，赢家不准走
904001,你这个牌打的太喔了
904002,迪忙嘚点，在整啥子啊，忙嘚点，要整啥子嘛
904003,急啥子，马上就要来了
904004,背时了，你家这个牌好得很嘛
904005,冒拌了，有什么拌的，专心打
904006,你这个牌们打太雀了嘛
904007,输家不开口，赢家不准走
904008,来嘛整起整起
904009,在磨啥子啊，黄花菜都凉掉了，迪抖点
904010,你们太不地道了，按斗老子一个人整
905001,忙都点出嘛
905002,冒筋抖催，我丁宮都输给你几爷子
905003,给还要我摸牌啊，你们两个给是勾都脚的打呢
905004,幺鸡二条不打要着嘎
905005,你咋个嫩个杠啊，尽是拿我放炮
905006,赢的多，吃火锅，赢的少，吃水饺
905007,输家不开口，赢家不准走
905008,迪忙抖点
905009,自摸自摸钱更多
905010,给要呢，不要们算了
905011,哎哟这张牌够大了
905012,我抖看都你们玩
905013,杠上五梅花一牌起渣渣
905014,给我好好打，你两个给是勾着脚呢
905017,麻将打的好，全靠眼睛瞟
906001,快当底，接个媳妇儿都要不倒藏久
906002,等不起了，咂干烟看你整得出一颗不
906003,哟，你们牌好得很嘛，我坐几盘飞机了
906004,老者打麻将，半天整不出一颗
906005,还要不要我摸牌咯，你们是不是两个有一腿哦
906006,像你这种打法，有好多都输得掉
906007,打个钏钏，你是包炮放类
906008,哈哈，毛子打手气
906009,拐了，输来只剩摇裤儿了
906010,又是龟胡儿，不好意思，先走了
906011,"打个龟头吽,你们咋个都有龟哦"
906012,美女叫牌眯有，我等到查你哟
906013,哟，叫得早不如叫得巧，胡了，先走一步
906014,表捉急，一哈儿把摇裤儿都输给你算了
906015,赢的多，吃火锅，赢的少，吃水饺
906016,你们太不落教了，按到老子一个人胡
906017,有叫不报是憨戳戳，自摸自摸钱更多
906018,麻将打的好，全靠眼睛瞟
906019,这张牌打出去要惹祸喔，注意到点
906020,千刀万剐不糊头把，天胡儿天胡儿，要死猪儿
906021,脑壳昏戳戳，摇裤儿都输拖
906022,你牙齿焦黄，冒充内行，裤儿希脏，冒充港商
906023,莫呆办法，高万都熬倒赶出去了
906024,你太精了，下次不敢跟你打了
906025,快来了，三缺一啊。
906026,表叫扯把子了，认真得。
1001001,详
1001002,解锁条件：
1001003,Lv.%d
1001004,会员专属
1001005,付费购买
1001006,出战
1001007,免费试用
1001008,%d天%d:%d:%d
1001009,已获得
1001010,已出战
1001011,LV.%d免费获取
1001012,名字不能包含非法字符
1101001,距离免费领取救济时间还剩：
1101002,分享朋友圈，免费领取%d金币
1101003,分享
1101004,VIP领取救济金无需等待
1101005,开通VIP
1101006,金币
1101007,（加赠%d金币）
1101008,更多金币
1101009,%d元
1101010,今日救济已领完
1101011,参加免费比赛，赢游戏币拿大奖
1101012,去比赛场
1101013,免费救济已经就绪
1101014,领取金币
1101015,金币不足，请取钱再战
1101016,打开存钱罐
1102001,现金：
1102002,存款：
1102003,重置
1102004,确定
1102005,1.资产在20000金币以上的玩家可通过存钱罐存取金币\n2.通过“+”“-”能以1000金币为单位进行调节
1102006,存钱成功
1102007,取钱成功
1201001,赚钱榜
1201002,活跃榜
1201003,富豪榜
1201004,排名
1201005,玩家姓名
1201006,活跃度
1201007,活跃度：
1201008,赚钱
1201009,赚钱：
1201010,财富
1201011,财富：
1201012,查看资料
1201013,分享
1201014,第%s名
1201015,ID:%s
1202001,金币：
1202002,钻石：
1202003,等级：
1202004,查看详情
1202005,举报
1202006,添加好友
1301001,设置
1301002,静       音
1301003,方言
1301004,音效
1301005,音乐
1301006,当前版本：
1301007,游戏震动
1301008,禁止聊天
1301009,联系客服
1301010,关于我们
1301011,游戏帮助
1301012,on
1301013,off
1302001,意见反馈
1302002,登录问题
1302003,请详细描述登录遇到问题，失败提示信息，或者上传截图，方便客服为你处理。
1302004,充值问题
1302005,请描述你充值遇到的问题，失败提示信息，或者上传截图，请留下你的联系电话便于客服及时处理您的问题。
1302006,游戏问题
1302007,请描述你遇到的问题，牌局时间和操作，或者上传截图，方便客服为你处理。
1302008,其他
1302009,如对游戏有任何建议都可以提交，建议被采纳会有额外奖励
1302010,选择截图
1302011,留下联系方式，方便客服联系你
1302012,提交
1302013,请您输入正确的手机号码
1303014,亲，请输入反馈的内容~~
1303015,问：
1303016,答：收到，我们会尽快为你处理。
1303017,温馨提示
1303018,客服热线：
1303019,是否拨打客电话87654321
1303020,87654321
1304001,关于我们
1304002,服务协议
1304003,私隐策略
1304004,版号声明
1305001,游戏帮助
1401001,游戏道具
1401002,如何获得水晶
1401003,兑奖记录
1401004,剩余个数：
1401005,兑换
1401006,已售罄
1401007,实物道具
1402001,参加比赛有机会获得更多水晶哦~
1402002,去比赛场
1403001,水晶余额不足
1403002,您的账户水晶余额：
1403003,无法购买该产品，看看其他奖品吧！
1403004,确定
1403005,您确定要花费
1403006,兑换%s吗？
1403007,取消
1403008,确定
1404001,兑奖日期
1404002,奖品名称
1404003,消耗水晶
1404004,兑换数量
1404005,状态
1404006,查看详情
1501001,七夕活动
1501002,这是一年一度的七夕夜
1502001,单身狗活动
1503002,单身狗就别逛街了，来打麻将吧
1503003,"投票成功,谢谢!"
1601001,每日签到
1601002,每日任务
1601003,本月最大连续签到%d天
1601004,补签
1601005,点击领取%d金币
1601006,VIP每日签到可获翻倍奖励
1601007,开通VIP
1601008,连续签到可以获得额外礼包（每月1号重置）
1601009,天
1601010,签到
1601011,本月最大连续签到<color=#169d0d>%s天</color>
1601012,没有补签卡
1602001,日
1602002,一
1602003,二
1602004,三
1602005,四
1602006,五
1602007,六
1602008,返回
1603001,确认
1604001,确认
1604002,补签
1604003,领取
1605001,领取奖励
1605002,做任务
1605003,奖励:
1605004,进度：%s
1606001,朋友圈分享
1606002,微信好友分享
1606003,QQ分享
1606004,闷鸡胜利%d局
1606005,斗地主连胜%d局
1606006,完成%d局麻将
1606007,闷鸡抽到%d次对子
1606008,斗地主中打出王炸%d次
1606009,麻将中自摸%d次
1606010,签到任务
1607001,补签卡不足，是否购买？
1607002,是
1607003,否
1606101,麻将中胡到金钩钩%d次
1606102,麻将中自摸%d次
1606103,QQ分享
1606104,闷鸡胜利%d局
1606105,斗地主连胜%d局
1606106,完成%d局麻将
1606107,闷鸡抽到%d次对子
1606108,斗地主中打出王炸%d次
1606109,麻将中自摸%d次
1606110,签到任务
1701001,金币
1701002,钻石
1701003,VIP
1701004,道具
1701005,购买
1701006,微信
1701007,支付宝
1701008,苹果支付
1701009,银联
1701010,首购
1701011,#NAME?
1701012,元
1701013,超值
1701014,VIP特权
1701015,请人功能
1701016,专属表情
1701017,破产0等待
1701018,签到翻倍
1701019,专属头像框
1701020,专属角色
1701021,你已成功购买
1701022,，请在背包中查看
1701023,最大
1701024,购买道具
1701025,商品：
1701026,价格：
1701027,购买方式
1701028,购买成功
1701029,恭喜你，成功购买
1701030,进入
1702001,%d天
1702002,%d时
1702003,%d分
1702004,%d秒
1701031,%s不足，请前往商城充值
1701032,金币
1701033,钻石
1701034,水晶
1701035,购买%s成功
1701036,充值失败
1701037,前往充值
1701038,资源数值非法
1701039,兑换物品
1701040,暂未开放
1701041,是否花费<color=#FF3E00FF>%d%s</color>购买<color=#FF3E00FF>%s</color>
1701042,恭喜你成功%s
1701043,%d钻石
1701044,%d金币
1701045,%s加赠%d%%
1701046,%s元或%s钻石
1701047,%s元或%s金币
1701048,%s元
1701049,%s钻石
1701050,%s金币
1701051,加赠%d%%
1701052,%s元购买
1701053,%s钻石购买
1701054,%s金币购买
1701055,%s元或<img>Common:Money</img>%d
1701056,<img>Common:Money</img>%d
1701057,x%s
1701058,数量:%d
1701059,总价:?%d%s
1701060,不够货币购买?
1701061,%s元购买或%d 
1703001,敬请期待
1703002,您当前不能购买金币
1801001,物品箱
1801002,兑奖记录
1801003,限时
1802001,限时道具
1802002,数量：
1802003,丢弃
1803001,是否丢弃该道具？
1803002,取消
1803003,确认
1804001,增加物品
1804002,已经丢弃该道具
1901001,补签卡
1901002,在签到界面使用，使用后获得补签当日的奖励
1902001,踢人卡
1902002,踢掉你不爽的人吧
1903001,鸡蛋
1903002,鸡蛋蕴含丰富蛋白质，喜欢谁就扔谁吧
1903003,给个蛋你补补营养
1903004,这个蛋我不爱吃，都给你
1904001,拖鞋
1904002,拖鞋乃藏身于民宅中的传奇，虽然攻击力不高但是胜在方便，殴打熊孩子的神器
1904003,看我神器
1904004,看来我要使出我平生绝学了，去吧拖鞋君
1905001,鲜花
1905002,今天七夕哦！送你女友鲜花吧——花店老板
1905003,我把真心送给你
1905004,我把真心送给你
1906001,炸弹
1906002,看你不爽炸你一脸灰
1906003,一个炸弹送你回家
1906004,炸弹虽好，可不要贪炸哦！
1907001,角色1使用卡
1907002,玩家在一定时间内可以获得角色1的使用权
1908001,角色2使用卡
1908002,玩家在一定时间内可以获得角色2的使用权
1909001,角色3使用卡
1909002,玩家在一定时间内可以获得角色3的使用权
1910001,角色4使用卡
1910002,玩家在一定时间内可以获得角色4的使用权
1911000,金币
1912000,钻石
1913000,水晶
1914001,vip日卡
1914002,当日vip有效
1915001,vip周卡
1915002,一周内vip有效
1916001,vip月卡
1916002,一月内vip有效
2001001,昵称：
2001002,ID：
2001003,性别：
2001004,等级：
2001005,帐号验证
2001006,切换账号
2001007,斗地主
2001008,麻将
2001009,闷鸡
2001010,全部
2001011,分享战绩
2001012,确定
2001013,取消
2001014,男
2001015,女
2001016,点击修改头像
2001017,请输入
2001018,第一次修改昵称免费，以后每次需要100钻石
2001019,未设置
2001020,LV:
2001021,点击查看详细>>
2001022,%s胜%s负%s
2001023,修改性别失败
2001024,修改昵称成功
2001025,修改昵称失败
2001026,修改地区成功
2001027,修改地区失败
2001028,修改头像成功
2001029,修改头像失败
2001030,试玩账号
2001031,玩家信息
2001032,解锁条件LV.
2001033,修改性别成功
2101001,%s(%s/%s/%s)
2102001,全部领取
2102002,已领取
2102003,领取成功
2102004,背包已满
2102005,异常
2101002,<color=#FF0000FF>未读</color
2101003,<color=#45b700>已读</color
2201001,超值
2201002,金币
2201003,（首购加赠%d%s)
2201004,元
2201005,打开存钱罐
2201006,您已破产
2201007,金币不足，请取钱再战
2201008,VIP领取救济无需等待
2201009,开通VIP
2201010,更多金币》
2202001,是
2202002,否
2202003,距离免费救济时间还剩：
2202004,救济已可以领取
2202005,今日救济已领完
2301001,举报
2301002,踢走(%d)
2301003,金币：
2301004,钻石：
2301005,等级：
2301006,胜率：
2301007,对他使用：
2301008,加好友
2401001,快回来吧我们都想你了
2402002,快回来吧我们都想你了
2501001,%s资源下载
2501002,昭通斗地主
2501003,昭通麻将
2501004,昭通闷鸡
2501005,"进入%s前需要先下载资源文件(大小为%s),您现在就下载资源文件包吗？"
2502001,系统错误
2502002,参数错误
2502003,系统异常
2502004,没有权限
2502005,游戏维护中，请稍候，精彩马上继续
2503001,验证信息错误
2503002,没有登录
2503003,重登
2503004,充值失败
2504001,已创建角色
2504002,角色名已存在
2504003,钱不够
2504004,角色解锁了
2504005,名字非法
2505001,不在游戏中
2505002,在游戏中
2505003,已在游戏排队队列中
2601001,振华服
2601002,培光服
2601003,外网服
2601004,马朝伟
2601005,关天常
2601006,待定
2601007,待定
2601008,待定
2601009,待定
2701001,%sw
2701002,%sy
2701003,%sq
2701004,%s千
2701005,%s万
2701006,%s亿
2702001,别急嘛！打完这局再走嘛！
2702002,"当前资源不够,请前往存钱罐领取金币"
2702003,"您已破产,请前往商城充值"
2702000,正在请求数据请稍候...
2702004,重连成功
2703001,本局消耗%d金币
2704001,%d
2704002,%s
2704003,下载速度：%s
2704004,%s/%s
